Season,League,Player_id,Player,Age,Birth_date,Nation,Height,Team,Appearances,Minutes,Position,Rating,Shots Total,Shots On,Goals,Assists,Passes Total,Passes Key,Tackles Total,Blocks,Interceptions,Duels Total,Duels Won,Dribbles Attempted,Dribbles Success,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,XG,Non_Pen_XG,X_Assists,Attacking Carries,Attacking Passes,Attacking Receives,npxG+xAG,Weekly Wages $
2024-25,France Ligue 1,49583.0,A Abdi,31.9,1993-12-20 00:00:00,Tunisia,183.0,Nice,25.0,1396.0,Defender,6.74504256,24.0,11.0,5.0,2.0,512.0,20.0,44.0,6.0,20.0,177.0,92.0,28.0,12.0,14.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12687.0
2025-26,France Ligue 1,49583.0,A Abdi,31.9,1993-12-20 00:00:00,Tunisia,183.0,Nice,5.0,285.0,Midfielder,5.9064000000000005,0.0,0.0,0.0,0.0,67.0,4.0,7.0,0.0,3.0,38.0,19.0,8.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16208.0
2024-25,England League One,325969.0,A Abdulai,22.9,2002-12-09 00:00:00,Scotland,183.0,Leyton Orient,24.0,1167.0,Midfielder,6.22034754,12.0,8.0,4.0,1.0,275.0,9.0,27.0,2.0,8.0,236.0,82.0,32.0,12.0,18.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,England League One,325969.0,A Abdulai,22.9,2002-12-09 00:00:00,Scotland,183.0,Leyton Orient,13.0,333.0,Midfielder,5.9064000000000005,1.0,1.0,0.0,0.0,112.0,3.0,6.0,1.0,2.0,58.0,18.0,6.0,2.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,England Championship,325969.0,A Abdulai,22.0,0,Scotland,183.0,Swansea,7.0,133.0,Midfielder,6.2228565,0.0,0.0,0.0,1.0,80.0,3.0,6.0,0.0,5.0,27.0,18.0,6.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,England Championship,325969.0,A Abdulai,22.9,2002-12-09 00:00:00,Scotland,183.0,Swansea,17.0,336.0,Midfielder,5.969999700000001,2.0,1.0,1.0,0.0,123.0,2.0,9.0,0.0,2.0,67.0,33.0,10.0,8.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,0,0.0,A Abdullahi,0.0,0,0,0.0,Sunderland,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715.0
2025-26,Belgium Jupiler,342945.0,A Abid,22.2,2003-08-23 00:00:00,Belgium,164.0,Standard Liege,10.0,674.0,Midfielder,6.4602,4.0,3.0,1.0,1.0,216.0,15.0,8.0,0.0,3.0,63.0,32.0,22.0,10.0,13.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,Spain La Liga,46813.0,A Abqar,25.0,0,Morocco,188.0,Alaves,27.0,2316.0,Defender,6.7356659699999994,8.0,3.0,0.0,0.0,748.0,3.0,35.0,26.0,23.0,184.0,100.0,4.0,3.0,23.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,Spain La Liga,46813.0,A Abqar,26.7,1999-03-10 00:00:00,Morocco,188.0,Alaves,29.0,2468.0,Defender,6.70468887,10.0,1.0,0.0,1.0,924.0,8.0,36.0,18.0,39.0,208.0,111.0,4.0,3.0,32.0,47.0,13.0,0.0,0.9,0.9,0.3,17.0,81.0,4.0,1.2,7335.0
2025-26,Spain La Liga,46813.0,A Abqar,26.7,1999-03-10 00:00:00,Morocco,188.0,Getafe,7.0,509.0,Defender,6.4608,5.0,1.0,0.0,1.0,173.0,2.0,19.0,2.0,7.0,57.0,42.0,2.0,1.0,13.0,7.0,4.0,0.0,0.2,0.2,0.2,2.0,6.0,0.0,0.5,0.0
2024-25,0,0.0,A Aceves,0.0,0,0,0.0,Valladolid,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.0
2023-24,France Ligue 1,57446.0,A Adams,24.0,0,Nigeria,190.0,Montpellier,32.0,2264.0,Attacker,6.83959375,57.0,33.0,8.0,1.0,374.0,18.0,12.0,2.0,5.0,265.0,102.0,41.0,14.0,23.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,France Ligue 1,57446.0,A Adams,25.8,2000-01-29 00:00:00,Nigeria,190.0,Montpellier,15.0,1080.0,Attacker,6.4484,22.0,12.0,3.0,1.0,172.0,12.0,4.0,1.0,1.0,110.0,47.0,13.0,7.0,8.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11894.0
2024-25,Spain La Liga,57446.0,A Adams,25.8,2000-01-29 00:00:00,Nigeria,190.0,Sevilla,4.0,130.0,Attacker,5.8275,2.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,18.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,5.0,5.0,0.4,0.0
2025-26,Spain La Liga,57446.0,A Adams,25.8,2000-01-29 00:00:00,Nigeria,190.0,Sevilla,10.0,486.0,Attacker,6.5281,12.0,8.0,2.0,1.0,80.0,2.0,4.0,1.0,0.0,54.0,25.0,8.0,5.0,2.0,8.0,1.0,0.0,2.1,2.1,0.1,9.0,5.0,16.0,2.2,42320.0
2024-25,Netherlands Eredivisie,378966.0,A Adelgaard,22.0,2003-11-10 00:00:00,Denmark,175.0,Go Ahead Eagles,22.0,1225.0,Defender,6.4407264,3.0,1.0,0.0,1.0,515.0,15.0,21.0,4.0,10.0,108.0,53.0,15.0,10.0,14.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
